DBN,School Name,School Type,Parent Response Rate,Teacher Response Rate,Student Response Rate,Total Safety and Respect Score,Total Communication Score,Total Engagement Score,Total Academic Expectations Score
dbn,locationname,NA,rr_p,rr_t,rr_s,saf_tot_12,com_tot_12,eng_tot_12,aca_tot_12
02M308,Lower Manhattan Arts Academy,High School,13%,71%,66%,7.5,7.2,7.5,7.7
02M312,New York City Lab Middle School For Collaborative,Middle School,60%,97%,99%,8.4,7.4,7.8,8.2
02M313,"James Baldwin School, The: A School For Expedition",Transfer High School,16%,100%,54%,7.9,6.8,7.7,7.8
02M316,"Urban Assembly School Of Business For Young Women,",High School,60%,77%,80%,7.2,6.4,6.7,7.2
02M347,The 47 American Sign Language & English Lower Scho,Elementary/Middle School,32%,78%,95%,7.4,7,7,7.6
02M374,Gramercy Arts High School,High School,68%,91%,96%,7.5,6.8,7.4,7.6
02M376,Nyc Ischool,High School,37%,87%,87%,8.1,7.4,7.6,7.7
02M392,Manhattan Business Academy,High School,17%,96%,84%,7.8,7.1,7.3,7.8
02M393,Business Of Sports School,High School,26%,82%,53%,7,6.7,6.9,7.3
02M394,Emma Lazarus High School,Transfer High School,95%,88%,94%,9.4,8.2,8.7,9.1
02M397,Spruce Street School,Early Childhood School,82%,88%,NA,8.5,6.9,7.3,7.4
02M399,The High School For Language And Diplomacy,High School,15%,89%,78%,7.5,6.1,6.6,6.9
02M400,High School For Environmental Studies,High School,10%,99%,75%,7.8,7,7.4,7.8
02M407,Institute For Collaborative Education,Middle/High School,30%,96%,88%,8.1,8.1,8.2,8.5
02M408,Professional Performing Arts High School,Middle/High School,45%,100%,81%,7.8,6.9,7.3,7.6
02M411,Baruch College Campus High School,High School,29%,27%,92%,8.4,6.7,7.2,8.1
02M412,N.Y.C. Lab School For Collaborative Studies,High School,27%,88%,93%,8.1,7.7,7.8,8
02M413,School Of The Future High School,Middle/High School,46%,92%,92%,8,7,7.4,7.8
02M414,N.Y.C. Museum School,High School,50%,93%,100%,7.6,5.7,6.2,6.5
02M416,Eleanor Roosevelt High School,High School,39%,100%,82%,8.5,7.5,7.9,8.4
02M418,Millennium High School,High School,47%,93%,99%,8.3,7,7.5,8.1
02M419,Landmark High School,High School,45%,96%,79%,7.2,6.4,7,7.2
02M420,High School For Health Professions And Human Servi,High School,48%,95%,94%,7.5,6.8,7.1,7.6
02M422,Quest To Learn,Middle School,41%,95%,93%,7.5,7.2,7.5,7.6
02M425,Leadership And Public Service High School,High School,6%,75%,4%,6.8,6.7,7,7.2
02M427,Manhattan Academy For Arts & Language,High School,61%,100%,89%,8,7.5,7.9,8.3
02M429,Legacy School For Integrated Studies,High School,21%,44%,74%,7,6.2,6.3,6.7
02M432,Murray Hill Academy,Transfer High School,71%,100%,95%,8,7.6,7.8,8.1
02M437,Hudson High School Of Learning Technologies,High School,47%,88%,89%,8,7.4,7.7,7.6
02M438,International High School At Union Square,High School,28%,75%,72%,8.1,7.6,7.8,8.2
02M439,Manhattan Village Academy,High School,74%,82%,100%,8.3,6.7,7.1,7.8
02M440,Bayard Rustin Educational Complex,High School,20%,58%,66%,7.2,6.6,6.6,7
02M442,"Ballet Tech, Nyc Public School For Dance",Elementary/Middle School,84%,75%,97%,8.7,7.9,8,8.6
02M449,Vanguard High School,High School,19%,94%,89%,7.9,7.4,7.7,8.1
02M459,Manhattan International High School,High School,39%,90%,90%,8.3,7.1,7.4,7.9
02M460,Washington Irving High School,High School,24%,56%,48%,7,6.5,6.8,7.1
02M473,Washington Irving Yabc,YABC,1%,69%,41%,8.2,7.2,8,8.3
02M475,Stuyvesant High School,High School,23%,91%,92%,7.9,6.7,7.1,7.7
02M489,High School Of Economics And Finance,High School,47%,89%,83%,8,7.1,7.3,7.8
02M500,Unity Center For Urban Technologies,High School,75%,88%,76%,8.3,7.6,7.8,8
02M507,Urban Assembly Gateway School For Technology,High School,44%,100%,95%,8.5,7.6,8.3,8.6
02M519,Talent Unlimited High School,High School,30%,100%,88%,7.4,6.6,6.9,7.3
02M520,Murry Bergtraum High School For Business Careers,High School,4%,61%,46%,6.1,5.5,6,6.3
02M529,Jacqueline Kennedy Onassis High School,High School,16%,76%,75%,7.6,6.8,7.2,7.5
02M531,Repertory Company High School For Theatre Arts,High School,36%,100%,96%,7.5,7,6.9,7.3
02M542,Manhattan Bridges High School,High School,68%,95%,88%,8,7.1,7.6,8.2
02M543,New Design High School,High School,5%,75%,62%,8,6.4,7.2,7.6
02M544,Independence High School,Transfer High School,19%,68%,34%,8.1,6.8,7.6,7.5
02M545,High School For Dual Language And Asian Studies,High School,47%,62%,80%,8.1,6.4,6.6,7.1
02M550,Liberty High School Academy For Newcomers,Transfer High School,76%,87%,93%,7.9,6.2,6.9,7.4
02M551,The Urban Assembly New York Harbor School,High School,35%,86%,49%,7.3,6.6,7,7.4
02M560,High School M560 - City As School,Transfer High School,4%,73%,29%,8.3,7.1,7.8,8
02M565,Urban Academy Laboratory High School,Transfer High School,11%,88%,48%,9,8.3,8.8,9.3
02M570,Satellite Academy High School,Transfer High School,33%,93%,70%,8.7,8,8.5,8.7
02M575,Manhattan Comprehensive Night And Day High School,Transfer High School,35%,81%,73%,8.6,7.4,8,8.2
02M580,Richard R. Green High School Of Teaching,High School,42%,98%,91%,7.7,6.6,7,7.4
02M586,Harvey Milk High School,Transfer High School,37%,100%,81%,7.4,7.2,7,7.4
02M600,The High School Of Fashion Industries,High School,25%,82%,93%,7.7,7.4,7.6,7.9
02M605,Humanities Preparatory Academy,Transfer High School,25%,100%,89%,7.7,6.4,7.2,7.5
02M615,Chelsea Career And Technical Education High School,High School,28%,100%,94%,7.8,6.9,7.3,7.8
02M620,Norman Thomas High School,High School,41%,91%,38%,6.6,6,6.2,6.5
02M625,High School Of Graphic Communication Arts,High School,26%,46%,68%,6.3,6,6.1,6.6
02M630,Art And Design High School,High School,22%,35%,72%,7.4,6,6.6,6.9
02M655,Life Sciences Secondary School,Middle/High School,9%,69%,59%,7,6.7,7,7.5
02M896,Lower Manhattan Community Middle School,Middle School,55%,81%,93%,8.1,7.1,7.7,7.9
03M009,P.S. 009 Sarah Anderson,Elementary School,86%,97%,NA,9.2,8.6,8.8,9.1
03M054,J.H.S. 054 Booker T. Washington,Middle School,66%,87%,97%,8,7.3,7.8,8.2
03M075,P.S. 075 Emily Dickinson,Elementary School,71%,77%,NA,8,7.4,7.8,7.8
03M076,P.S. 076 A. Philip Randolph,Elementary/Middle School,64%,91%,97%,8.4,8,8.4,8.9
03M084,P.S. 084 Lillian Weber,Elementary School,54%,78%,NA,8.5,7.8,8.2,8.2
03M087,P.S. 087 William Sherman,Elementary School,30%,47%,NA,7.7,6.1,6.9,6.8
03M145,"P.S. 145, The Bloomingdale School",Elementary School,46%,61%,NA,8.5,7.8,8,8.2
03M149,P.S. 149 Sojourner Truth,Elementary/Middle School,53%,75%,89%,7.2,7.4,7.5,7.8
03M163,P.S. 163 Alfred E. Smith,Elementary School,50%,71%,NA,8.6,8.1,8.2,8.3
03M165,P.S. 165 Robert E. Simon,Elementary/Middle School,23%,24%,37%,7.6,6.9,7.1,7.6
03M166,P.S. 166 The Richard Rodgers School Of The Arts An,Elementary School,75%,78%,NA,8.4,7.3,7.9,7.9
03M180,P.S. 180 Hugo Newman,Elementary/Middle School,45%,88%,100%,8,7.5,7.8,8.4
03M185,P.S. 185 - The Early Childhood Discovery And Desig,Early Childhood School,90%,100%,NA,8.7,8,8.3,8.4
03M191,P.S. 191 Amsterdam,Elementary/Middle School,85%,52%,55%,6.9,6.3,6.9,7.4
03M199,P.S. 199 Jessie Isador Straus,Elementary School,33%,24%,NA,8.7,7.6,8.2,8.3
03M208,P.S. 208 Alain L. Locke,Elementary School,81%,90%,NA,8.8,8.1,8.5,8.6
03M241,Stem Institute Of Manhattan,Elementary School,84%,83%,NA,8.1,7.2,7.9,7.6
03M243,M.S. 243 Center School,Middle School,67%,93%,99%,8.8,8,8.6,8.6
03M245,M.S. M245 The Computer School,Middle School,39%,88%,95%,8.2,7.1,7.5,7.9
03M247,M.S. M247 Dual Language Middle School,Middle School,80%,80%,100%,8.7,7.7,8,8.6
03M250,M.S. 250 West Side Collaborative Middle School,Middle School,58%,100%,96%,8.6,8.1,8.6,8.9
03M256,M.S. 256 Academic & Athletic Excellence,Middle School,22%,100%,85%,7.3,6.6,7.1,7.5
03M258,Community Action School - Ms 258,Middle School,31%,96%,86%,8.1,7.3,7.8,8.1
03M283,Manhattan Theatre Lab High School,High School,6%,75%,37%,6.2,5,5.3,5.5
03M299,"High School For Arts, Imagination And Inquiry",High School,21%,96%,74%,7.3,6.6,6.9,7.3
03M307,"Urban Assembly School For Media Studies, The",High School,13%,100%,76%,7.3,7,7.3,7.7
03M333,P.S. 333 Manhattan School For Children,Elementary/Middle School,42%,43%,82%,8,7.6,8.2,8.2
03M334,The Anderson School,Elementary/Middle School,82%,88%,100%,8.5,7.8,8.2,8.7
03M402,The Urban Assembly School For Green Careers,High School,33%,92%,28%,6.9,6.5,6.9,7
03M403,The Global Learning Collaborative,High School,20%,96%,87%,7.7,7.5,7.6,7.8
03M404,Innovation Diploma Plus,Transfer High School,44%,60%,56%,7.7,7.1,7.3,7.7
03M415,Wadleigh Secondary School For The Performing & Vis,Middle/High School,46%,80%,72%,6.7,6.6,6.7,7.1
03M417,Frank Mccourt High School,High School,32%,82%,97%,7.5,6.9,6.9,7.4
03M421,West Prep Academy,Middle School,76%,93%,82%,7.7,7.4,7.7,7.9
03M452,P.S. 452,Early Childhood School,73%,90%,NA,9.1,9,8.9,9.1
03M470,Louis D. Brandeis High School,High School,4%,35%,82%,6.8,6.4,6.6,7
03M479,Beacon High School,High School,29%,88%,82%,7.9,7.2,7.7,8
03M485,Fiorello H. Laguardia High School Of Music & Art A,High School,36%,53%,92%,7.8,6.4,7,7.4
03M492,"High School For Law, Advocacy And Community Justic",High School,52%,100%,77%,7.6,6.8,7.2,7.5
03M494,High School Of Arts And Technology,High School,29%,88%,53%,6.8,5.9,6.3,6.5
03M505,Edward A. Reynolds West Side High School,Transfer High School,14%,93%,29%,7.9,6.7,7.5,7.7
03M541,Manhattan / Hunter Science High School,High School,22%,96%,89%,8.4,7.4,7.8,8.2
03M859,Special Music School,Elementary/Middle School,86%,100%,100%,8.7,7.9,8.1,8.3
03M860,Frederick Douglass Academy Ii Secondary School,Middle/High School,49%,82%,80%,7,6.7,6.9,7.3
03M862,Mott Hall Ii,Middle School,86%,57%,99%,8.2,6.8,7.5,7.9
04M007,P.S. 007 Samuel Stern,Elementary/Middle School,64%,100%,94%,7.3,6.6,7.1,7.6
04M012,Tag Young Scholars,Elementary/Middle School,55%,100%,99%,8.3,7.8,8.2,8.7
04M013,J.H.S. 013 Jackie Robinson,Middle School,45%,68%,63%,6.8,6.5,6.8,7
04M037,River East Elementary,Elementary School,96%,79%,NA,8.4,6.7,7.8,7.9
04M038,P.S. 38 Roberto Clemente,Elementary School,53%,85%,NA,8,7.3,7.3,7.6
04M045,M.S. 45/S.T.A.R.S. Prep Academy,Middle School,71%,96%,89%,5.7,5.7,6,6.5
04M050,P.S. 050 Vito Marcantonio,Elementary/Middle School,36%,77%,87%,6.6,6.1,6.6,7
04M057,James Weldon Johnson,Elementary/Middle School,59%,81%,90%,8.2,7.6,8,8.4
04M072,The Lexington Academy,Elementary School,73%,96%,NA,8.8,8,8.4,8.5
04M083,P.S. 083 Luis Munoz Rivera,Elementary School,78%,97%,NA,8.2,7.8,8,8.1
04M096,P.S. 096 Joseph Lanzetta,Elementary/Middle School,32%,88%,93%,6.8,6.9,7,7.5
04M102,P.S. 102 Jacques Cartier,Elementary School,93%,100%,NA,8.3,7.9,8.1,8.1
04M108,P.S. 108 Assemblyman Angelo Del Toro Educational C,Elementary/Middle School,63%,88%,97%,7.9,7.2,7.7,8.2
04M112,P.S. 112 Jose Celso Barbosa,Early Childhood School,98%,100%,NA,8.2,8.1,8.1,8.4
04M146,P.S. 146 Ann M. Short,Elementary School,54%,100%,NA,7.7,6.6,7.1,7.1
04M155,P.S. 155 William Paca,Elementary School,71%,100%,NA,7.6,7.2,7.3,7.3
04M171,P.S. 171 Patrick Henry,Elementary/Middle School,92%,93%,100%,8.4,7.7,8,8.4
04M182,The Bilingual Bicultural School,Elementary School,89%,92%,NA,8.7,8,8.1,8.4
04M206,P.S. 206 Jose Celso Barbosa,Elementary School,94%,100%,98%,8.2,7.5,7.9,8.1
04M224,M.S. 224 Manhattan East School For Arts & Academic,Middle School,39%,100%,98%,7.2,7.1,7.3,7.7
04M372,Esperanza Preparatory Academy,Middle School,91%,96%,98%,8.3,7.9,8.2,8.5
04M375,Mosaic Preparatory Academy,Elementary School,69%,100%,NA,8.4,8.1,8.3,8.5
04M377,Renaissance School Of The Arts,Middle School,78%,100%,96%,7.3,7.4,7.7,8
04M381,Global Neighborhood Secondary School,Middle School,47%,100%,95%,7.4,6.8,7.5,7.6
04M406,Global Technology Preparatory,Middle School,53%,100%,91%,8.2,8.1,8.7,9
04M409,Coalition School For Social Change,High School,18%,75%,67%,7,6.9,7.1,7.4
04M435,Manhattan Center For Science And Mathematics,High School,21%,81%,86%,7.5,6.1,6.7,7.1
04M495,Park East High School,High School,30%,96%,89%,8,7,7.5,7.8
04M497,Central Park East I,Elementary School,62%,65%,NA,8.8,8.6,8.9,8.8
04M555,Central Park East High School,High School,30%,100%,93%,8.1,7.2,7.4,8.1
04M610,Young Women'S Leadership School,Middle/High School,60%,96%,94%,8.4,7.5,7.8,8.5
04M635,Academy Of Environmental Science Secondary High Sc,High School,74%,100%,71%,7.2,6.8,7.1,7.3
04M680,"Heritage School, The",High School,51%,88%,97%,6.9,6.5,6.7,7
04M825,Isaac Newton Middle School For Math & Science,Middle School,41%,73%,97%,7.9,7.7,7.9,8.3
04M964,Central Park East Ii,Elementary School,56%,86%,NA,9.1,8.4,9.1,8.9
05M030,P.S. 030 Hernandez/Hughes,Elementary School,84%,100%,NA,8.4,8.1,8.1,8.3
05M036,P.S. 036 Margaret Douglas,Elementary School,40%,70%,NA,7.7,7,7.1,7.1
05M046,P.S. 046 Arthur Tappan,Elementary/Middle School,73%,100%,97%,7.6,7.5,7.8,8.1
05M092,P.S. 092 Mary Mcleod Bethune,Elementary School,100%,93%,NA,8.5,8.4,8.4,8.6
05M123,P.S. 123 Mahalia Jackson,Elementary/Middle School,69%,81%,77%,7.9,7.6,7.9,8.3
05M125,P.S. 125 Ralph Bunche,Elementary School,86%,74%,NA,8.2,8.2,8,8.2
05M129,P.S. 129 John H. Finley,Elementary/Middle School,28%,43%,65%,6.8,6.8,7.2,7.7
05M133,P.S. 133 Fred R Moore,Elementary School,88%,86%,NA,7.2,6.3,6.6,6.7
05M154,P.S. 154 Harriet Tubman,Elementary School,67%,94%,NA,8.1,7.5,7.7,7.7
05M161,P.S. 161 Pedro Albizu Campos,Elementary/Middle School,52%,95%,91%,7.5,7.4,7.7,8.2
05M175,P.S. 175 Henry H Garnet,Elementary School,75%,37%,NA,7.8,6.9,7.8,7.6
05M194,P.S. 194 Countee Cullen,Elementary School,80%,65%,NA,7.8,7.8,7.7,7.8
05M195,I.S. 195 Roberto Clemente,Middle School,68%,77%,94%,6.4,6.4,6.8,7
05M197,P.S. 197 John B. Russwurm,Elementary School,85%,100%,NA,8.2,8,8,8.1
05M200,P.S. 200- The James Mccune Smith School,Elementary School,67%,87%,NA,7.6,7,7.2,7.5
05M285,Harlem Renaissance High School,Transfer High School,24%,100%,74%,7.8,7.1,7.6,7.8
05M286,I.S. M286 Renaissance Military Leadership Academy,Middle School,65%,93%,96%,8,7.6,8,8.5
05M302,Kappa Iv,Middle School,54%,67%,95%,7.4,7.2,7.4,7.8
05M304,Mott Hall High School,High School,78%,90%,99%,7.7,7.2,7.2,7.5
05M318,Thurgood Marshall Academy Lower School,Elementary School,79%,100%,NA,8.8,8.6,8.7,8.8
05M362,Columbia Secondary School,Middle/High School,39%,63%,95%,7.8,7,7.3,7.9
05M367,Academy For Social Action: A College Board School,Middle/High School,12%,67%,62%,5.5,5.1,5.3,5.8
05M369,Urban Assembly School For The Performing Arts,High School,54%,100%,84%,6.5,5.6,5.8,6.2
05M410,The Urban Assembly Institute For New Technologies,Middle School,1%,23%,27%,6.7,6.8,7.5,8.2
05M469,Choir Academy Of Harlem,Middle/High School,24%,42%,88%,6.5,6.6,6.6,6.9
05M499,Frederick Douglass Academy,Middle/High School,14%,48%,72%,6.7,6.5,6.8,7.3
05M514,New Design Middle School,Middle School,85%,89%,93%,7.7,7.7,8,8.3
05M517,Teachers College Community School,Early Childhood School,94%,100%,NA,9.4,9.1,9.2,9.5
05M670,Thurgood Marshall Academy For Learning And Social,Middle/High School,41%,81%,83%,7.6,6.8,7.1,7.5
05M685,Bread & Roses Integrated Arts High School,High School,25%,87%,62%,7,6.5,6.8,6.8
05M692,"High School For Mathematics, Science And Engineeri",High School,41%,97%,66%,8.5,7.4,7.6,8.2
06M004,P.S. 004 Duke Ellington,Elementary School,43%,52%,NA,8.6,7.6,7.9,8.1
06M005,P.S. 005 Ellen Lurie,Elementary School,63%,77%,NA,7.9,6.9,7.4,7.3
06M008,P.S. 008 Luis Belliard,Elementary School,93%,95%,NA,8.8,8.3,8.4,8.6
06M018,P.S. 018 Park Terrace,Elementary/Middle School,93%,88%,99%,8.1,7.4,7.9,8.1
06M028,P.S. 028 Wright Brothers,Elementary School,80%,99%,NA,8.6,7.7,7.8,8.1
06M048,P.S. 048 P.O. Michael J. Buczek,Elementary School,57%,84%,NA,8.3,7.3,7.8,7.9
06M052,J.H.S. 052 Inwood,Middle School,51%,88%,90%,7.9,7.4,7.9,8.3
06M098,P.S. 098 Shorac Kappock,Elementary School,69%,81%,NA,8,7.3,7.3,7.4
06M115,P.S. 115 Alexander Humboldt,Elementary School,41%,72%,NA,7.8,6.4,6.8,7
06M128,P.S. 128 Audubon,Elementary School,59%,58%,NA,8.6,7.8,8.2,8.2
06M132,P.S. 132 Juan Pablo Duarte,Elementary School,59%,96%,NA,7.7,7.4,7.5,7.5
06M143,J.H.S. 143 Eleanor Roosevelt,Middle School,96%,100%,99%,7.5,7.3,7.5,7.8
06M152,P.S. 152 Dyckman Valley,Elementary School,45%,69%,NA,7.4,6.3,6.4,6.4
06M153,P.S. 153 Adam Clayton Powell,Elementary School,94%,92%,NA,8.7,8.3,8.5,8.7
06M173,P.S. 173,Elementary School,65%,56%,NA,8.2,7.1,7.2,7.7
06M178,Professor Juan Bosch Public School,Early Childhood School,100%,100%,NA,9,8.5,8.6,8.7
06M187,P.S./I.S. 187 Hudson Cliffs,Elementary/Middle School,55%,92%,98%,7.7,6.7,7.2,7.5
06M189,P.S. 189,Elementary School,58%,64%,NA,8.2,7.5,7.7,7.9
06M192,P.S. 192 Jacob H. Schiff,Elementary School,53%,90%,NA,8.8,8.6,8.3,8.7
06M210,P.S./I.S. 210 - Twenty-First Century Academy For C,Elementary/Middle School,89%,89%,99%,8.1,7.2,8,8.1
06M218,I.S. 218 Salome Urena,Middle School,60%,53%,85%,7.5,6.8,6.9,7.2
06M223,The Mott Hall School,Middle School,95%,100%,99%,7.5,6.4,7.1,7.8
06M278,Paula Hedbavny School,Elementary/Middle School,87%,100%,99%,8.1,6.9,7.7,7.9
06M293,City College Academy Of The Arts,Middle/High School,54%,73%,93%,8.4,7.4,7.9,8.3
06M311,Amistad Dual Language School,Elementary/Middle School,68%,93%,100%,8.3,7.4,8,8.3
06M314,Muscota,Elementary School,56%,95%,NA,8.8,8.5,8.7,8.7
06M319,M.S. 319 - Maria Teresa,Middle School,95%,92%,95%,8.5,8.2,8.3,8.6
06M322,Middle School 322,Middle School,73%,79%,96%,7.4,6.8,7.3,7.5
06M324,M.S. 324 - Patria Mirabal,Middle School,95%,97%,98%,8.5,7.8,8.3,8.6
06M325,P.S. 325,Elementary School,69%,70%,NA,8,7.4,7.4,7.7
06M326,M.S. 326 - Writers Today & Leaders Tomorrow,Middle School,95%,53%,90%,6.3,6.4,6.9,7.1
06M328,M.S. 328 - Manhattan Middle School For Scientific,Middle School,85%,100%,96%,8.4,8.3,8.6,8.8
06M346,Community Health Academy Of The Heights,Middle/High School,52%,97%,80%,7.8,7.3,7.4,7.8
06M348,Washington Heights Expeditionary Learning School,Middle/High School,52%,91%,95%,8.3,7.5,7.6,8.2
